Using launch settings from EventScheduler/Properties/launchSettings.json...
EventID,EventName,EventDate,StartTime
1,Keynote address - Luke & Ben,2024-08-05,09:00
9,Creator stalls exhibition,2024-08-05,10:00
19,Panel: The Making of Trek Wars,2024-08-05,13:00
23,Trek Wars Gameplay Demonstration,2024-08-05,14:00
47,Fan Q&A with Luke & Ben,2024-08-05,15:30
53,Workshop: Game Development Basics,2024-08-06,09:00
86,Trek Wars Strategy Masterclass,2024-08-06,10:00
90,Advanced Trek Wars Tactics,2024-08-06,11:30
95,Panel: The Future of Mobile Gaming,2024-08-06,13:00
105,Gameplay Tournament: Qualifiers,2024-08-06,15:00
114,Trek Wars Art & Design Showcase,2024-08-07,09:00
128,Panel: Character Development in Games,2024-08-07,10:00
129,Gameplay Tournament: Semi-Finals,2024-08-07,13:00
147,Workshop: Sound Design in Trek Wars,2024-08-07,11:00
196,Panel: Monetization Strategies in Gaming,2024-08-07,14:30
208,Panel: The Art of Storytelling,2024-08-08,09:00
228,Gameplay Tournament: Finals,2024-08-08,10:00
263,Panel: The Impact of Player Feedback,2024-08-08,13:00
279,Workshop: Game Mechanics Innovation,2024-08-09,09:00
283,Panel: Innovations in Mobile Gaming,2024-08-09,10:00
285,Gameplay Tournament: Open Bracket,2024-08-09,13:00
304,Developer Insights,2024-08-09,11:00
333,Community Meet-Up,2024-08-09,15:00
338,Panel: Building a Gaming Community,2024-08-05,16:30
356,Advanced Gameplay Mechanics,2024-08-06,16:00
363,Gameplay Tournament: Finals,2024-08-07,15:00
373,Workshop: Monetizing Mobile Games,2024-08-08,14:00
375,Indie Game Showcase,2024-08-08,15:00
394,Early Access Games Preview,2024-08-09,16:00
404,Hands-On: Trek Wars Customization,2024-08-12,15:30
423,Workshop: Game Localization,2024-08-13,14:00
433,Networking Session,2024-08-13,15:00
450,VR Experience: Trek Wars,2024-08-12,09:00
451,Panel: The Role of Sound in Gaming,2024-08-12,10:00
453,Gameplay Challenge: Community Edition,2024-08-12,13:00
473,Fan Art Competition Results,2024-08-12,11:00
479,Meet the Devs,2024-08-12,14:30
480,Game Design Principles,2024-08-13,09:00
481,Panel: Emerging Trends in Gaming,2024-08-13,10:00
485,Advanced Trek Wars Strategies,2024-08-13,11:30
489,Workshop: Effective Game Marketing,2024-08-13,13:00
512,Panel: The Impact of Art in Games,2024-08-14,09:00
533,Gameplay Testing: Trek Wars,2024-08-14,10:00
540,Workshop: Game Audio Design,2024-08-14,13:00
547,Meet & Greet with Special Guests,2024-08-14,11:30
558,Future Trends in Gaming,2024-08-15,09:00
576,Panel: Developing for Emerging Platforms,2024-08-15,10:00
636,Workshop: Crafting Effective Tutorials,2024-08-15,13:00
656,Panel: The Evolution of Gaming Genres,2024-08-15,14:00
663,Workshop: Game Mechanics Innovation,2024-08-16,09:00
680,Panel: Gaming and Storytelling,2024-08-16,10:00
689,Gameplay Tournament: Community Finals,2024-08-16,13:00
710,Future of Gaming: VR and AR,2024-08-16,11:00
716,Panel: The Intersection of Art & Gaming,2024-08-13,16:00
722,Advanced Trek Wars Techniques,2024-08-14,15:00
776,Workshop: Building Immersive Worlds,2024-08-14,16:00
779,Indie Dev Talks,2024-08-15,14:30
785,Panel: Gaming for Social Impact,2024-08-15,15:00
807,Workshop: Game AI Development,2024-08-15,16:00
824,Panel: Integrating AR/VR in Games,2024-08-16,15:00
840,Workshop: Creating Multiplayer Experiences,2024-08-19,14:00
850,Panel: The Role of Narrative in Mobile Games,2024-08-19,16:00
855,Interactive Workshop: Trek Wars Mechanics,2024-08-19,09:00
873,Advanced Trek Wars Gameplay,2024-08-19,09:30
881,Workshop: Design for User Experience,2024-08-19,11:00
890,Meet the Developers,2024-08-19,13:00
974,Closing Panel: Reflections on TrekCon,2024-08-20,09:00
984,Farewell Presentation: Trek Wars Evolution,2024-08-20,10:00
992,Final Meet & Greet,2024-08-20,11:30
999,Closing Ceremony,2024-08-20,13:00
